Konuşma,Kategori,Alt Kategori,Müşterinin İsteği (özet),Çözüldü mü?,Çözüm Yöntemi,Bot Yapabilir mi?,Neden / Ne Gerekir?
K1,BONUS_TALEP,Bonus talebi,"Müşteri bonus istiyor, 100€ yatırmış",HAYIR,Agent bonus yok dedi,KISMI,Uygunluk kontrolü agent gerektirir
K2,BILGI_SORUSU,Çekim süresi,Çekim işlemi ne kadar sürer?,EVET,Agent bilgi verdi,EVET,Standart bilgi: 24 saat
K3,HESAP,Eksik para yatırma,50€ bankadan çekildi ama hesaba yansımadı,KISMI,"İlgili ekibe iletildi, araştırılıyor",HAYIR,Finans ekibi incelemesi gerekiyor
K4,TEKNIK,Genel teknik sorun,Site çalışmıyor,BELIRSIZ,"Agent karşıladı, detay yok",KISMI,Sorun türü netleştirilmeli
K5,BONUS_TALEP,YouTuber affiliate bonusu,Krimi YouTuber linki ile free spin talebi; oyun açılmıyor,KISMI,Free spin verildi; teknik sorun devam etti,KISMI,Free spin verme agent gerektirir; teknik sorun cache temizliği ile çözülabilir
K6,BONUS_TALEP,YouTuber affiliate bonusu,Krimi linki ile 30 free spin talebi,BELIRSIZ,"Agent karşıladı, çözüm belirsiz",KISMI,Affiliate link kontrolü agent gerektirir
K7,BONUS_TALEP,Affiliate link bonusu,YouTuber linki ile free spin talebi,HAYIR,"Affiliate link kullanılmamış, bonus verilmedi",KISMI,Bot link durumu açıklayabilir
K8,VIP,VIP bilgisi,VIP için özel domain/link var mı?,EVET,Özel VIP domain yok denildi,EVET,Genel bilgi sorusu
K9,TEKNIK,Ödeme yapılamıyor,"Sitede ödeme yapılamıyor, hata var",KISMI,Cache/cookie temizliği önerildi,KISMI,"Teknik adımlar bot açıklayabilir, çözüm doğrulama agent gerektirir"
K10,BONUS_TALEP,Aktivite bazlı bonus,60+31€ yatırım sonrası bonus/free spin talebi,KISMI,"Sistem bonus veremiyor denildi, agent kontrol etti",HAYIR,Hesap aktivite kontrolü gerekiyor
K11,CASHBACK,Kayıp sonrası bonus,Kayıplar için cashback/bonus talebi,EVET,"50€ bonus, 5x çevrim koşuluyla önerildi",HAYIR,"Discretionary karar, agent gerektirir"
K12,BONUS_TALEP,Büyük bonus talebi,Büyük bonus istiyor,EVET,30 free spin verildi,HAYIR,Bonus verme aksiyonu agent gerektirir
K13,HESAP,Hesap kapatma,Çok para kaybettiği için hesap kapatmak istiyor,BELIRSIZ,"Agent özür diledi, aksiyon belirsiz",HAYIR,Hesap kapatma backoffice işlemi
K14,BONUS_TALEP,Sadakat bonusu,"Çok depozito yaptı, hiç kazanmadı, bonus istiyor",HAYIR,"Koşullar açıklandı, bonus verilmedi",KISMI,Bot koşulları açıklayabilir
K15,BONUS_TALEP,Bonus talebi,Bonus istiyor,EVET,"10€ bonus, 20x çevrim, 100€ max çekim",HAYIR,Bonus verme agent aksiyonu
K16,BONUS_TALEP,Depozito sonrası bonus,Son depozitolar için bonus talebi,BELIRSIZ,"Agent kontrol edecek, sonuç belirsiz",HAYIR,Hesap kontrolü gerekiyor
K17,BONUS_SORUN,Free spin iptali,"150 free spin nerede, göremiyorum",EVET,Çekim yapınca bonus iptal olduğu açıklandı,EVET,Bot standart kural açıklayabilir
K18,BONUS_TALEP,Bonus uygunluğu,Bonus hakkı var mı?,BELIRSIZ,"Agent kontrol edecek, sonuç belirsiz",HAYIR,Hesap kontrolü gerekiyor
K19,WITHDRAWAL_BEKLEYEN,Çekim onayı,Çekimini onaylatmak istiyor,EVET,Agent işlemi tamamladı,HAYIR,Çekim onayı backoffice işlemi
K20,BONUS_SORUN,Free spin alınmadı,Depozito ile seçilen 200 free spin görünmüyor,BELIRSIZ,"Agent kontrol ediyor, sonuç belirsiz",HAYIR,Bonus kredileme agent gerektirir
K21,WITHDRAWAL_LIMIT,Limit artırımı,Depozito limitini 20€ artırmasını istiyor,BELIRSIZ,"Agent karşıladı, detay yok",HAYIR,Limit değişikliği backoffice işlemi
K22,WITHDRAWAL_LIMIT,Limit artırımı,Depozito limitini tekrar 20€ artırmasını istiyor,EVET,Agent işlemi yaptı,HAYIR,Limit değişikliği backoffice işlemi
K23,BILGI_SORUSU,Çekim süresi + KYC durumu,Çekim süresi ve hesap doğrulama durumu sorgusu,EVET,"24 saat bilgisi verildi, KYC kontrol edildi",KISMI,Süre bilgisi bot verebilir; KYC durumu agent kontrol eder
K24,WITHDRAWAL_BEKLEYEN,Çekim hızlandırma,Çekimin bugün yapılmasını istiyor,KISMI,"Ekibe iletildi, garanti yok",HAYIR,Çekim hızlandırma backoffice gerektirir
K25,BONUS_SORUN,Bonus iptal,Depozito bonusu neden iptal edildi?,BELIRSIZ,"Agent kontrol edecek, sonuç belirsiz",HAYIR,Hesap inceleme gerekiyor
K26,BONUS_TALEP,Bonus talebi,Bonus istiyor,BELIRSIZ,Agent kontrol ediyor,HAYIR,Hesap kontrolü gerekiyor
K27,VIP,VIP statüsü belgesi,VIP olduğunu belgeleyen doküman istiyor (başka casino için),EVET,VIP olduğu ve %12 cashback aldığı açıklandı,KISMI,VIP statüsü bilgisi agent verir; resmi belge backoffice
K28,BONUS_TALEP,Bonus talebi,Bonus istiyor,BELIRSIZ,Agent kontrol edecek,HAYIR,Hesap kontrolü gerekiyor
K29,VIP,VIP free spin + çekim,Her Cuma free spin olması gerekiyor ama gelmedi; 1400€ çekim talebi,KISMI,VIP yöneticisine yönlendirildi; çekim kontrol edildi,HAYIR,VIP avantajları ve çekim aksiyonu agent/VIP ekibi gerektirir
K30,BILGI_SORUSU,Self-exclusion ve çekim,24 saatlik duraklama sırasında çekim işlemi etkilenir mi?,EVET,Çekimin etkilenmeyeceği açıklandı; hesap kilitlendi/açıldı,KISMI,Bot kural açıklayabilir; hesap kilitleme/açma agent gerektirir
K31,BONUS_TALEP,Depozito sonrası bonus,200€+ yatırım sonrası bonus talebi,EVET,Bonus verildi,HAYIR,Bonus verme agent aksiyonu
K32,WITHDRAWAL_LIMIT,Limit artırımı,Günlük limit 40€'ya çıkarıldı ama uygulanmadı,EVET,Agent limiti tekrar 40€ yaptı,HAYIR,Limit değişikliği backoffice işlemi
K33,BONUS_SORUN,Bonus oyun erişimi,"Bonus oyunu açılmıyor, farklı oyuna taşıma talebi",KISMI,Farklı oyuna free spin verildi; cache temizliği önerildi,KISMI,Cache temizliği bot açıklayabilir; bonus değiştirme agent gerektirir
K34,BONUS_SORUN,Bonus türü açıklaması,"Neden farklı bonus verildi, her zamanki bonus neden yok?",EVET,Aktivite yetersizliği nedeniyle istisnai bonus verildiği açıklandı,KISMI,Bot koşulları açıklayabilir; hesap kontrolü agent gerektirir
K35,BONUS_TALEP,Kayıp sonrası bonus + hesap kapatma,Bug nedeniyle bonus talebi; yüksek çevrim koşulundan şikayet; hesap kapatmak istedi,KISMI,"50€ bonus verilmiş, VIP'e yönlendirildi",HAYIR,"Discretionary karar, agent/VIP gerektirir"
K36,WITHDRAWAL_BEKLEYEN,Hesap doğrulama + çekim,Hesabım çekim için geçerli mi? Çekim süresi?,EVET,"Hesap doğrulandı, 24 saat bilgisi verildi",KISMI,Süre bilgisi bot verebilir; doğrulama kontrolü agent gerektirir
K37,CASHBACK,Cashback + bonus,"Cashback var, bonus da istiyor",EVET,"20€ bonus verildi (20x, 200€ max)",HAYIR,Bonus verme agent aksiyonu
K38,HESAP,Eksik para yatırma,50€ bankadan çekildi ama hesaba yansımadı,KISMI,"Ekrana görüntü istendi, araştırılıyor",HAYIR,Ekran görüntüsü + finans ekibi incelemesi gerekiyor
K39,BONUS_TALEP,Bonus talebi,Bonus istiyor,BELIRSIZ,Agent karşıladı,HAYIR,Hesap kontrolü gerekiyor
K40,BONUS_TALEP,Bonus uygunluğu,Bonus hakkı var mı?,BELIRSIZ,Agent karşıladı,HAYIR,Hesap kontrolü gerekiyor
K41,VIP,VIP Telegram iletişimi,"Telegram VIP'e mesaj attı, yanıt yok; VIP'in aramasını istiyor",KISMI,VIP ekibine iletildi,HAYIR,VIP koordinasyonu agent gerektirir
K42,BONUS_TALEP,Depozito bonusu detayı,100€ için 200 free spin hakkı var mı? Favori oyuna eklenebilir mi?,KISMI,Ekran görüntüsü istendi,KISMI,Bot genel bilgi verebilir; onaylama ve uygulama agent gerektirir
K43,VIP,VIP agent iletişimi,Daniel ile görüşmek/aranmak istiyor,KISMI,Daniel'a mesaj iletildi,HAYIR,VIP agent koordinasyonu gerekiyor
K44,BONUS_TALEP,Bonus talebi,Bonus istiyor,BELIRSIZ,Agent karşıladı,HAYIR,Hesap kontrolü gerekiyor
K45,BONUS_TALEP,Kayıp sonrası bonus + happy hour sorunu,"Çok depozito, hiç kazanç yok; happy hour free spin çalışmıyor",BELIRSIZ,Agent kontrol edecek,HAYIR,Hesap kontrolü + teknik inceleme gerekiyor
K46,BONUS_TALEP,Büyük depozito sonrası bonus,1000€+1000€ yatırım için bonus talebi,BELIRSIZ,Agent kontrol ediyor,HAYIR,Hesap kontrolü gerekiyor
K47,BONUS_TALEP,Kayıp sonrası bonus,"Şanssız, küçük bonus istiyor",BELIRSIZ,Agent karşıladı,HAYIR,Hesap kontrolü gerekiyor
K48,BONUS_TALEP,Doğum günü bonusu,Doğum günü bonusu neden gelmedi?,KISMI,Agent kontrol ediyor; başka casinoda geldiğini belirtti,HAYIR,Hesap ve kampanya kontrolü agent gerektirir
